X;Y;Z;W;iter;
-0.3375;-0.761904;0;-0.761904;1;
-0.3375;-0.63492;-1.39682;-1.14286;1;
-0.3375;-0.63492;-1.39682;-1.01587;1;
-0.3375;-0.63492;-1.26984;-1.14286;1;
-0.3375;-0.63492;-1.26984;-1.01587;1;
-0.3375;-0.63492;-1.26984;-0.888888;1;
-0.3375;-0.63492;-1.26984;-0.761904;1;
-0.3375;-0.63492;-1.14286;-1.14286;1;
-0.3375;-0.63492;-1.14286;-1.01587;1;
-0.3375;-0.63492;-1.14286;-0.888888;1;
-0.3375;-0.63492;-1.14286;-0.761904;2;
-0.3375;-0.63492;-1.14286;-0.63492;1;
-0.3375;-0.63492;-1.01587;-1.01587;1;
-0.3375;-0.63492;-1.01587;-0.63492;2;
-0.3375;-0.63492;-1.01587;-0.507936;1;
-0.3375;-0.63492;-1.01587;-0.380952;1;
-0.3375;-0.63492;-0.888888;-1.01587;1;
-0.3375;-0.63492;-0.888888;-0.507936;4;
-0.3375;-0.63492;-0.888888;-0.380952;1;
-0.3375;-0.63492;-0.888888;-0.253968;1;
-0.3375;-0.63492;-0.888888;-0.126984;1;
-0.3375;-0.63492;-0.888888;0;1;
-0.3375;-0.63492;-0.761904;-1.01587;1;
-0.3375;-0.63492;-0.761904;-0.253968;1;
-0.3375;-0.63492;-0.761904;-0.126984;1;
-0.3375;-0.63492;-0.761904;0;1;
-0.3375;-0.63492;-0.63492;-1.01587;1;
-0.3375;-0.63492;-0.63492;-0.888888;1;
-0.3375;-0.63492;-0.507936;-0.888888;1;
-0.3375;-0.63492;-0.380952;-0.888888;1;
-0.3375;-0.63492;-0.253968;-0.888888;1;
-0.3375;-0.63492;-0.126984;-0.888888;1;
-0.3375;-0.63492;0;-0.888888;1;
-0.3375;-0.507936;-1.39682;-1.14286;1;
-0.3375;-0.507936;-1.39682;-1.01587;1;
-0.3375;-0.507936;-1.26984;-1.14286;1;
-0.3375;-0.507936;-1.26984;-1.01587;1;
-0.3375;-0.507936;-1.26984;-0.888888;2;
-0.3375;-0.507936;-1.26984;-0.761904;1;
-0.3375;-0.507936;-1.14286;-1.14286;1;
-0.3375;-0.507936;-1.14286;-1.01587;1;
-0.3375;-0.507936;-1.14286;-0.761904;2;
-0.3375;-0.507936;-1.14286;-0.63492;1;
