X;Y;Z;W;iter;
-0.3375;-1.70159;-0.55873;-0.177778;1;
-0.3375;-1.70159;-0.55873;-0.152381;1;
-0.3375;-1.70159;-0.55873;-0.126984;1;
-0.3375;-1.70159;-0.533333;-0.304762;1;
-0.3375;-1.70159;-0.533333;-0.279365;1;
-0.3375;-1.70159;-0.533333;-0.253968;1;
-0.3375;-1.70159;-0.533333;-0.228571;1;
-0.3375;-1.70159;-0.533333;-0.203175;1;
-0.3375;-1.70159;-0.533333;-0.177778;1;
-0.3375;-1.70159;-0.533333;-0.152381;1;
-0.3375;-1.70159;-0.533333;-0.126984;1;
-0.3375;-1.70159;-0.507936;-0.304762;1;
-0.3375;-1.70159;-0.507936;-0.279365;1;
-0.3375;-1.70159;-0.507936;-0.253968;1;
-0.3375;-1.70159;-0.507936;-0.228571;1;
-0.3375;-1.70159;-0.507936;-0.203175;1;
-0.3375;-1.70159;-0.507936;-0.177778;1;
-0.3375;-1.70159;-0.507936;-0.152381;1;
-0.3375;-1.70159;-0.507936;-0.126984;1;
-0.3375;-1.70159;-0.48254;-0.279365;1;
-0.3375;-1.70159;-0.48254;-0.253968;1;
-0.3375;-1.70159;-0.48254;-0.228571;1;
-0.3375;-1.70159;-0.48254;-0.203175;1;
-0.3375;-1.70159;-0.48254;-0.177778;1;
-0.3375;-1.70159;-0.48254;-0.152381;1;
-0.3375;-1.70159;-0.48254;-0.126984;1;
-0.3375;-1.70159;-0.48254;-0.101587;1;
-0.3375;-1.70159;-0.457143;-0.279365;1;
-0.3375;-1.70159;-0.457143;-0.253968;1;
-0.3375;-1.70159;-0.457143;-0.228571;1;
-0.3375;-1.70159;-0.457143;-0.203175;1;
-0.3375;-1.70159;-0.457143;-0.177778;1;
-0.3375;-1.70159;-0.457143;-0.152381;1;
-0.3375;-1.70159;-0.457143;-0.126984;1;
-0.3375;-1.70159;-0.457143;-0.101587;1;
-0.3375;-1.70159;-0.431746;-0.279365;1;
-0.3375;-1.70159;-0.431746;-0.253968;1;
-0.3375;-1.70159;-0.431746;-0.228571;1;
-0.3375;-1.70159;-0.431746;-0.203175;1;
-0.3375;-1.70159;-0.431746;-0.177778;1;
-0.3375;-1.70159;-0.431746;-0.152381;1;
-0.3375;-1.70159;-0.431746;-0.126984;1;
-0.3375;-1.70159;-0.431746;-0.101587;1;
-0.3375;-1.70159;-0.431746;-0.0761905;1;
-0.3375;-1.70159;-0.406349;-0.279365;1;
-0.3375;-1.70159;-0.406349;-0.253968;1;
-0.3375;-1.70159;-0.406349;-0.228571;1;
-0.3375;-1.70159;-0.406349;-0.203175;1;
-0.3375;-1.70159;-0.406349;-0.177778;1;
-0.3375;-1.70159;-0.406349;-0.152381;1;
-0.3375;-1.70159;-0.406349;-0.126984;1;
-0.3375;-1.70159;-0.406349;-0.101587;1;
-0.3375;-1.70159;-0.406349;-0.0761905;1;
-0.3375;-1.70159;-0.380952;-0.279365;1;
-0.3375;-1.70159;-0.380952;-0.253968;1;
-0.3375;-1.70159;-0.380952;-0.228571;1;
-0.3375;-1.70159;-0.380952;-0.203175;1;
-0.3375;-1.70159;-0.380952;-0.177778;1;
-0.3375;-1.70159;-0.380952;-0.152381;1;
-0.3375;-1.70159;-0.380952;-0.126984;1;
